name_employee,birth_date,age,gender,marital_status,hiring_date,position,salary,performance_score,last_performance_date,average_work_hours,satisfaction_level,absences
"Candie, Calvin",08/09/83,38,M ,Single,28/01/16,Production Manager,72640,4,22/02/19,4169,5.0,14
"Anderson, Linda  ",22/05/77,44,F,Single,01/09/12,Production Technician I,57568,4,01/07/19,4844,5.0,15
"Billis, Helen",09/01/89,32,F,Married,07/07/14,Production Technician I,62910,4,27/02/19,4031,5.0,19
"Lynch, Lindsay",14/02/73,48,F,Single,11/07/11,Production Technician I,47434,4,02/02/15,4844,5.0,17
"Patronick, Lucas",20/02/79,42,M ,Single,11/07/11,Software Engineer,108987,4,16/08/15,4844,5.0,13
"Driver, Elle",11/08/88,33,F,Single,01/10/11,Area Sales Manager,74241,4,27/01/19,4007,4.77,14
"Harrison, Kara",05/02/74,47,F,Married,05/12/14,Production Technician I,62065,4,15/02/19,4886,4.76,5
"Lindsay, Leonara ",10/05/88,33,F,Single,21/01/11,IT Support,51777,4,25/01/19,4070,4.64,14
"Jeannite, Tayana",11/06/86,35,F,Divorced,07/05/11,Production Technician II,60724,4,25/02/19,4821,4.6,11
"Zamora, Jennifer",30/08/79,42,F,Single,04/10/10,CIO,220450,4,21/02/19,4067,4.6,16
"Rivera, Haley  ",01/12/73,48,F,Married,28/01/11,Production Technician I,46738,4,02/11/19,4171,4.36,16
"Barbossa, Hector",07/04/88,33,M ,Divorced,11/10/14,Data Analyst,92328,4,25/02/19,4230,4.28,9
"Torrence, Jack",15/01/68,53,M ,Separated,01/09/06,Area Sales Manager,64397,4,01/04/19,4782,4.1,6
"Veera, Abdellah ",31/01/87,34,M ,Divorced,13/08/12,Production Technician I,58523,4,02/01/16,4171,4.5,15
"Foss, Jason",07/05/80,41,M ,Single,15/04/11,IT Director,178000,4,01/07/19,4460,5.0,15
"Petrowsky, Thelma",16/09/84,37,F,Married,11/10/14,Data Analyst,93554,4,01/04/19,4886,4.6,16
"Liebig, Ketsia",26/10/81,40,F,Married,30/09/13,Production Manager,77915,4,21/01/19,4110,4.1,11
"Girifalco, Evelyn",05/08/80,41,F,Single,29/09/14,Production Technician I,57815,4,02/07/19,4451,3.9,3
"Corleone, Vito",19/03/83,38,M ,Single,01/05/09,Director of Operations,170500,4,02/04/19,4030,3.7,15
"Robinson, Elias",28/01/85,36,M ,Widowed,07/08/13,Production Technician I,63353,4,02/11/19,4730,3.6,4
"Osturnka, Adeel",12/11/76,45,M ,Married,30/09/13,Production Technician I,47414,4,02/07/19,4478,5.0,13
"Volk, Colleen",06/03/86,35,F,Married,26/09/11,Production Technician I,49773,4,02/01/15,4747,4.3,18
"Beak, Kimberly  ",17/04/66,55,F,Married,21/07/16,Production Technician II,70131,4,14/01/19,4145,4.4,16
"Szabo, Andrew",05/06/83,38,M ,Single,07/07/14,Software Engineer,92989,4,18/02/19,4140,4.5,1
"Monterro, Luisa",24/04/70,51,F,Single,13/05/13,Production Technician II,72460,4,14/01/19,4126,4.7,1
"Adinolfi, Wilson  K",07/10/83,38,M ,Single,07/05/11,Production Technician I,62506,4,17/01/19,4960,4.6,1
"Smith, Joe",30/10/63,58,M ,Single,29/09/14,Production Technician II,60656,4,28/01/19,4045,4.3,4
"Dougall, Eric",07/09/70,51,M ,Single,01/05/14,IT Manager - Support,138888,4,01/04/19,4886,4.3,4
"Clukey, Elijian",26/08/80,41,M ,Married,07/06/16,Production Technician I,50373,4,28/02/19,4134,4.1,5
"Squatrito, Kristen",26/03/73,48,F,Divorced,13/05/13,Production Technician I,62425,4,03/02/15,4359,4.1,16
